my gene	prokka annotation	article gene	article prokka annotation	eggnog annotation
CBNIABCL_00420	 Lipoyl synthase	LFTS_02236	 lipoic acid synthetase	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives
CBNIABCL_00419	 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	LFTS_02237	 phosphoglycerate mutase	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate
CBNIABCL_00418	 hypothetical protein	LFTS_02238	 hypothetical protein	 Not found 
CBNIABCL_00417	 hypothetical protein	LFTS_02239	 hypothetical protein	Pfam:DUF989
CBNIABCL_00416	 hypothetical protein	LFTS_02240	 hypothetical protein	 Not found 
CBNIABCL_00415	 ATP-dependent RNA helicase RhlE	LFTS_02241	 ATP-dependent RNA helicase RhlE	helicase activity
CBNIABCL_00414	 Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD	LFTS_02242	 putative glutamine amidotransferase	Peptidase C26
CBNIABCL_00413	 Glutamate racemase	LFTS_02243	 glutamate racemase	Provides the (R)-glutamate required for cell wall biosynthesis
CBNIABCL_00412	 Beta-hexosaminidase A	LFTS_02244	 beta-N-acetylhexosaminidase	Glycosyl hydrolase family 3 N terminal domain
CBNIABCL_00411	 Non-canonical purine NTP pyrophosphatase	LFTS_02245	 XTP/dITP diphosphohydrolase	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions
CBNIABCL_00410	 Ribonuclease PH	LFTS_02246	 ribonuclease PH	Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates
CBNIABCL_00409	 hypothetical protein	LFTS_02247	 Oligoribonuclease NrnB or cAMP/cGMP phosphodiesterase, DHH superfamily	hydrolase activity, acting on ester bonds
CBNIABCL_00408	 putative ABC transporter ATP-binding protein YheS	LFTS_02248	 ATP-binding cassette, subfamily F, member 3	ABC transporter
CBNIABCL_00407	 Spore protein SP21	LFTS_02249	 HSP20 family protein	Belongs to the small heat shock protein (HSP20) family
CBNIABCL_00406	 Ribosomal large subunit pseudouridine synthase B	LFTS_02250	 23S rRNA synthase	Belongs to the pseudouridine synthase RsuA family
CBNIABCL_00405	 hypothetical protein	LFTS_02251	 Transglycosylase SLT domain-containing protein	lytic transglycosylase activity
CBNIABCL_00404	 hypothetical protein	LFTS_02252	 hypothetical protein	 Not found 
CBNIABCL_00403	 hypothetical protein	LFTS_02253	 HD domain protein	Metal dependent phosphohydrolases with conserved 'HD' motif.
CBNIABCL_00399	 14.7 kDa ribonuclease H-like protein	LFTS_02254	 ribonuclease HI	RNase H
CBNIABCL_00398	 hypothetical protein	LFTS_02255	 Putative zinc ribbon domain protein	C4-type zinc ribbon domain
CBNIABCL_00396	 RNA polymerase sigma factor RpoD	LFTS_02257	 RNA polymerase, sigma 70 subunit, RpoD	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released
CBNIABCL_00394	 DNA primase	LFTS_02258	 DNA primase	RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication
CBNIABCL_00393	 hypothetical protein	LFTS_02259	 Yqey-like protein	Yqey-like protein
CBNIABCL_00392	 30S ribosomal protein S21	LFTS_02260	 SSU ribosomal protein S21P	Ribosomal protein S21
CBNIABCL_00391	 DNA-binding protein HU	LFTS_02261	 DNA-binding protein HU-beta	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions
CBNIABCL_00390	 putative HIT-like protein	LFTS_02262	 histidine triad (HIT) family protein	HIT domain
CBNIABCL_00389	 Phosphoribosyl-AMP cyclohydrolase	LFTS_02263	 phosphoribosyl-ATP pyrophosphatase /phosphoribosyl-AMP cyclohydrolase	Phosphoribosyl-AMP cyclohydrolase
CBNIABCL_00388	 Imidazole glycerol phosphate synthase subunit HisF	LFTS_02264	 cyclase	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit
CBNIABCL_00387	 Phosphoribosyl isomerase A	LFTS_02265	 1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	Histidine biosynthesis protein
CBNIABCL_00386	 Imidazole glycerol phosphate synthase subunit HisH	LFTS_02266	 glutamine amidotransferase	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR
CBNIABCL_00385	 Imidazoleglycerol-phosphate dehydratase	LFTS_02267	 imidazoleglycerol-phosphate dehydratase	Imidazoleglycerol-phosphate dehydratase
CBNIABCL_00384	 Histidinol-phosphate aminotransferase 2	LFTS_02268	 histidinol-phosphate aminotransferase	Aminotransferase class I and II
CBNIABCL_00383	 Histidinol dehydrogenase	LFTS_02269	 histidinol dehydrogenase	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine
CBNIABCL_00382	 ATP phosphoribosyltransferase	LFTS_02270	 ATP phosphoribosyltransferase	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity
CBNIABCL_00381	 UDP-N-acetylglucosamine 1-carboxyvinyltransferase	LFTS_02271	 UDP-N-acetylglucosamine 1-carboxyvinyltransferase	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine
CBNIABCL_00380	 Release factor glutamine methyltransferase	LFTS_02272	 release factor glutamine methyltransferase	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif
CBNIABCL_00379	 Peptide chain release factor 1	LFTS_02273	 peptide chain release factor 1	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA
CBNIABCL_00378	 50S ribosomal protein L31	LFTS_02274	 LSU ribosomal protein L31P	Binds the 23S rRNA
CBNIABCL_00377	 Transcription termination factor Rho	LFTS_02275	 hypothetical protein	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template
CBNIABCL_00376	 hypothetical protein	LFTS_02276	 Cytochrome C oxidase, cbb3-type, subunit III	Cytochrome C oxidase, cbb3-type, subunit III
CBNIABCL_00375	 Histone deacetylase-like amidohydrolase	LFTS_02277	 Acetoin utilization deacetylase AcuC	Histone deacetylase domain
CBNIABCL_00374	 hypothetical protein	LFTS_02278	 hypothetical protein	 Not found 
CBNIABCL_00373	 hypothetical protein	LFTS_02279	 hypothetical protein	
CBNIABCL_00372	 Fructose-1,6-bisphosphatase class 1	LFTS_02280	 fructose-1,6-bisphosphatase I	Fructose-1-6-bisphosphatase, N-terminal domain
CBNIABCL_00371	 hypothetical protein	LFTS_02281	 hypothetical protein	 Not found 
CBNIABCL_00370	 Sulfoacetaldehyde dehydrogenase	LFTS_02282	 Acyl-CoA reductase	Aldehyde dehydrogenase family
CBNIABCL_00369	 hypothetical protein	LFTS_02283	 hypothetical protein	 Not found 
CBNIABCL_00368	 Flavin-dependent thymidylate synthase	LFTS_02284	 thymidylate synthase (FAD)	thymidylate synthase (FAD) activity
CBNIABCL_00367	 Phosphate-specific transport system accessory protein PhoU 	LFTS_02285	 phosphate transport system protein	Plays a role in the regulation of phosphate uptake
CBNIABCL_00366	 Phosphate import ATP-binding protein PstB 3	LFTS_02286	 phosphate ABC transporter ATP-binding protein, PhoT family	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system
CBNIABCL_00365	 Phosphate transport system permease protein PstA	LFTS_02287	 phosphate transport system permease protein	Binding-protein-dependent transport system inner membrane component
CBNIABCL_00364	 Phosphate transport system permease protein PstC	LFTS_02288	 phosphate ABC transporter membrane protein 1, PhoT family	probably responsible for the translocation of the substrate across the membrane
CBNIABCL_00363	 hypothetical protein	LFTS_02289	 hypothetical protein	 Not found 
CBNIABCL_00362	 Phosphate-binding protein PstS1	LFTS_02290	 phosphate ABC transporter substrate-binding protein, PhoT family (TC 3.A.1.7.1)	PBP superfamily domain
CBNIABCL_00361	 hypothetical protein	LFTS_02291	 hypothetical protein	 Not found 
CBNIABCL_00360	 Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	LFTS_02292	 two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	Transcriptional regulatory protein, C terminal
CBNIABCL_00359	 hypothetical protein	LFTS_02293	 hypothetical protein	
CBNIABCL_00358	 hypothetical protein	LFTS_02294	 hypothetical protein	Thiamine-binding protein
CBNIABCL_00357	 Adenylosuccinate synthetase	LFTS_02295	 Adenylosuccinate synthetase	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
CBNIABCL_00356	 hypothetical protein	LFTS_02296	 hypothetical protein	Protein of unknown function (DUF1054)
CBNIABCL_00355	 hypothetical protein	LFTS_02297	 SagB-type dehydrogenase domain-containing protein	coenzyme F420-1:gamma-L-glutamate ligase activity
CBNIABCL_00354	 putative protein kinase UbiB	LFTS_02298	 2-octaprenylphenol hydroxylase	ABC1 family
CBNIABCL_00353	 hypothetical protein	LFTS_02299	 DNA replication and repair protein RadC	RadC-like JAB domain
CBNIABCL_00352	 hypothetical protein	LFTS_02300	 undecaprenyl-diphosphatase	phosphatidate phosphatase activity
CBNIABCL_00351	 hypothetical protein	LFTS_02301	 Putative zinc- or iron-chelating domain-containing protein	metal cluster binding
CBNIABCL_00350	 Outer membrane protein assembly factor BamB	LFTS_02302	 outer membrane protein assembly factor BamB	amino acid activation for nonribosomal peptide biosynthetic process
CBNIABCL_00349	 hypothetical protein	LFTS_02303	 SmpA / OmlA family protein	 Not found 
CBNIABCL_00348	 Penicillin-binding protein 1B	LFTS_02304	 penicillin-binding protein 1B	Transglycosylase
CBNIABCL_00346	 Endoglucanase	LFTS_02306	 Cellulase family 8	PFAM glycoside hydrolase family 8
CBNIABCL_00345	 Cellulose synthase 1	LFTS_02307	 cellulose synthase subunit	cellulose synthase
CBNIABCL_00344	 Cellulose synthase catalytic subunit [UDP-forming]	LFTS_02308	 PilZ domain-containing protein	cellulose synthase
CBNIABCL_00343	 hypothetical protein	LFTS_02309	 transposase, IS5 family	Transposase domain (DUF772)
CBNIABCL_00342	 Cellulose synthase catalytic subunit [UDP-forming]	LFTS_02310	 Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	Cellulose synthase
CBNIABCL_00341	 Beta-barrel assembly-enhancing protease	LFTS_02311	 Tetratricopeptide repeat-containing protein	Cellulose synthase operon protein C C-terminus (BCSC_C)
CBNIABCL_00339	 hypothetical protein	LFTS_02312	 Major Facilitator Superfamily protein	Major facilitator Superfamily
CBNIABCL_00338	 hypothetical protein	LFTS_02313	 nitrogen regulatory protein P-II family protein	Evidence 2b Function of strongly homologous gene
CBNIABCL_00337	 hypothetical protein	LFTS_02314	 hypothetical protein	Uncharacterized protein conserved in bacteria (DUF2309)
CBNIABCL_00336	 hypothetical protein	LFTS_02315	 NADH-quinone oxidoreductase subunit M	NDH-1 shuttles electrons from NAD(P)H, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
CBNIABCL_00335	 NADH-quinone oxidoreductase subunit L	LFTS_02316	 NADH-quinone oxidoreductase subunit L	chain 5 L
CBNIABCL_00334	 Nif-specific regulatory protein	LFTS_02317	 Nif-specific regulatory protein	GAF domain
CBNIABCL_00333	 Flagellar motor switch protein FliM	LFTS_02318	 flagellar motor switch protein FliM	Flagellar motor switch protein FliM
CBNIABCL_00332	 Macrolide export protein MacA	LFTS_02319	 HlyD family secretion protein	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
CBNIABCL_00331	 Macrolide export ATP-binding/permease protein MacB	LFTS_02320	 putative ABC transport system permease protein	MacB-like periplasmic core domain
CBNIABCL_00330	 putative ABC transporter ATP-binding protein YknY	LFTS_02321	 putative ABC transport system ATP-binding protein	Evidence 2b Function of strongly homologous gene
CBNIABCL_00329	 Inorganic pyrophosphatase	LFTS_02322	 inorganic pyrophosphatase	Inorganic pyrophosphatase
CBNIABCL_00328	 hypothetical protein	LFTS_02323	 hypothetical protein	 Not found 
CBNIABCL_00327	 hypothetical protein	LFTS_02325	 hypothetical protein	 Not found 
CBNIABCL_00326	 hypothetical protein	LFTS_02326	 iron complex outermembrane recepter protein	TonB-dependent receptor
CBNIABCL_00325	 hypothetical protein	LFTS_02327	 hypothetical protein	 Not found 
CBNIABCL_00324	 Lipopolysaccharide core heptosyltransferase RfaQ	LFTS_02328	 ADP-heptose:LPS heptosyltransferase	Glycosyltransferase family 9 (heptosyltransferase)
CBNIABCL_00323	 hypothetical protein	LFTS_02329	 spore maturation protein CgeB	DUF based on E. rectale Gene description (DUF3880)
CBNIABCL_00322	 hypothetical protein	LFTS_02330	 ADP-heptose:LPS heptosyltransferase	ADP-heptose-lipopolysaccharide heptosyltransferase activity
CBNIABCL_00321	 Trans-aconitate 2-methyltransferase	LFTS_02331	 Glycosyltransferase involved in cell wall bisynthesis	trans-aconitate 2-methyltransferase activity
CBNIABCL_00320	 Spore protein YkvP	LFTS_02332	 Glycosyl transferases group 1	Glycosyl transferases group 1
CBNIABCL_00319	 hypothetical protein	LFTS_02333	 hypothetical protein	 Not found 
CBNIABCL_00318	 Flagellar protein FliS	LFTS_02334	 flagellar protein FliS	flagellar protein fliS
CBNIABCL_00317	 B-type flagellar hook-associated protein 2	LFTS_02335	 flagellar hook-associated protein 2	Required for morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end
CBNIABCL_00316	 Flagellin	LFTS_02336	 flagellin	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
CBNIABCL_00315	 Flagellar assembly factor FliW	LFTS_02337	 flagellar assembly factor FliW	Binds to the C-terminal region of flagellin, which is implicated in polymerization, and participates in the assembly of the flagellum
CBNIABCL_00314	 Carbon storage regulator 	LFTS_02338	 carbon storage regulator, CsrA	Could accelerate the degradation of some genes transcripts potentially through selective RNA binding
CBNIABCL_00313	 Flagellar hook-associated protein 3	LFTS_02339	 flagellar hook-associated protein 3 FlgL	Bacterial flagellin N-terminal helical region
CBNIABCL_00312	 Flagellar hook-associated protein 1	LFTS_02340	 flagellar hook-associated protein 1 FlgK	Flagellar basal body rod FlgEFG protein C-terminal
CBNIABCL_00311	 hypothetical protein	LFTS_02341	 FlgN protein	 Not found 
CBNIABCL_00310	 hypothetical protein	LFTS_02342	 anti-sigma-28 factor, FlgM family	bacterial-type flagellum organization
CBNIABCL_00309	 Flagellin	LFTS_02343	 flagellin	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
CBNIABCL_00308	 hypothetical protein	LFTS_02344	 flagellar protein FlgJ	Flagellar rod assembly protein muramidase FlgJ
CBNIABCL_00307	 Flagellar P-ring protein	LFTS_02345	 flagellar P-ring protein precursor FlgI	Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation
CBNIABCL_00306	 Flagellar L-ring protein	LFTS_02346	 flagellar L-ring protein precursor FlgH	 Not found 
